Your Telegram History in "WRSS"

.....01.02.2018 09:34:17, Dmitry Pisarev [@Dvpisarev;>>created the group "WRSS"<<
01.02.2018 10:50:02, Dmitry Pisarev [@Dvpisarev;В универе будете сегодня?
01.02.2018 10:50:49, Oleh Khomiak: Да)
01.02.2018 10:54:26, Shokan Iliyas [@shoqannn;Пока не знаю
01.02.2018 10:55:01, Oleh Khomiak: Сегодня с 9 вечера до 1 ночи коктельная вечеринка
01.02.2018 10:55:59, Dmitry Pisarev [@Dvpisarev;У меня завтра ima
01.02.2018 10:56:17, Oleh Khomiak: Одно другому не мешает😂
01.02.2018 10:56:23, Dmitry Pisarev [@Dvpisarev;[[👍 Sticker, size 25'508 bytes]]
01.02.2018 11:03:16, Oleh Khomiak: [[GIF, size 105'402 bytes]]
01.02.2018 14:12:52, Shokan Iliyas [@shoqannn;Яе пацаны купим
01.02.2018 14:13:02, Shokan Iliyas [@shoqannn;Билеты
01.02.2018 14:13:37, Shokan Iliyas [@shoqannn;Сегодня
07.02.2018 17:22:51, Shokan Iliyas [@shoqannn;выходи
07.02.2018 18:39:15, Oleh Khomiak: [[Photo]]
07.02.2018 18:41:32, Dmitry Pisarev [@Dvpisarev;похоже вы на линуксе маршрутизацию будете делать )))
07.02.2018 18:41:39, Dmitry Pisarev [@Dvpisarev;и firewall
07.02.2018 18:43:55, Dmitry Pisarev [@Dvpisarev;вы на долго?
07.02.2018 18:44:06, Shokan Iliyas [@shoqannn;вроде уже почти закончили
07.02.2018 18:44:26, Shokan Iliyas [@shoqannn;Лионель как всегда вопросами всех задерживает )
07.02.2018 18:44:43, Dmitry Pisarev [@Dvpisarev;)))
07.02.2018 18:59:39, Oleh Khomiak: Выходим прям щам
07.02.2018 18:59:39, Oleh Khomiak: Щас
08.02.2018 17:18:20, Dmitry Pisarev [@Dvpisarev;Перекур?
08.02.2018 18:07:51, Shokan Iliyas [@shoqannn;ты еще тут?
08.02.2018 18:08:06, Dmitry Pisarev [@Dvpisarev;250
08.02.2018 18:08:57, Shokan Iliyas [@shoqannn;мы наверно через 10-15 мин закончим
